Rank|Song|Total Points|Number Ones|Total Listeners
116|Lorde - Ribs|65.0|0|10
117|Ariana Grande - The Light Is Coming (feat. Nicki Minaj)|64.5|0|13
118|Bradley Cooper - Maybe It's Time|64.5|0|12
119|Joji - Slow dancing in The dark|64.0|1|7
120|Alma - Cowboy|64.0|0|7
121|Ariana Grande - Successful|63.0|0|15
122|Allie X - Little Things|63.0|0|8
123|Twenty One Pilots - Leave The City|61.5|0|11
124|Alessia Cara - Trust My Lonely|61.5|0|9
125|St. Vincent - Masseduction - piano version|61.0|0|11
126|Lorde - Green Light|60.5|0|9
127|BROCKHAMPTON - HONEY|60.0|1|10
128|Quavo - PASS OUT (feat. 21 Savage)|60.0|0|9
129|Ella Mai - Trip|59.0|0|9
130|Quavo - FLIP THE SWITCH (feat. Drake)|58.5|0|8
131|Jess Glynne - 123|58.5|0|7
132|Kero Kero Bonito - Dump|58.0|0|14
133|Maggie Rogers - Alaska|58.0|1|7
134|NCT 127 - Regular - Korean Version|58.0|1|5
135|Petit biscuit - Suffer|57.5|0|5
136|Weezer - Can't Knock The Hustle|57.0|1|9
137|Charli XCX - 5 In The Morning|56.5|0|12
137|Sia - I'm Still Here|56.5|0|12
139|Kero Kero Bonito - Flyway|56.0|0|13
140|King Princess - Talia|55.5|1|6
141|NCT 127 - City 127|55.5|0|5
142|Jessie Ware - Overtime|55.0|1|6
143|King Princess - 1950|55.0|2|5
144|Kero Kero Bonito - Swimming|54.5|0|15
145|Kero Kero Bonito - If I'd Known|54.5|0|10
145|Poppy - Fashion After All|54.5|0|10
147|Ariana Grande - raindrops (an angel cried)|54.5|2|8
148|The Killers - Mr. Brightside|54.5|0|6
149|Rina Sawayama - Cyber Stockholm Syndrome|54.0|0|8
150|Drake - In My Feelings|53.5|0|10
151|Charli XCX - Girls Night Out|53.5|0|9
152|St. Vincent - Los Ageless - piano version|53.0|0|9
153|Khalid - Better|53.0|0|8
154|Poppy - Immature Couture|53.0|1|5
155|LOOΠΔ - Stylish|52.5|0|5
156|Mitski - Nobody|51.5|0|11
157|Camila Cabello - Never Be The Same|51.5|0|9
158|BROCKHAMPTON - DISTRICT|51.5|0|7
159|Quavo - GO ALL THE WAY|51.0|0|6
160|Troye Sivan - The Good Side|50.5|0|13
161|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|50.5|1|10
162|Carly Rae Jepsen - Cut To The Feeling|50.5|0|9
163|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|50.5|1|8
164|BROCKHAMPTON - TONYA|50.5|0|7
164|Nile Rodgers & CHIC - I Want Your Love (feat. Lady Gaga)|50.5|0|7
166|St. Vincent - Sugarboy - piano version|50.0|0|10
167|NCT 127 - Regular - English Version|50.0|2|4
168|Bradley Cooper - Black Eyes|49.5|0|11
169|Billie Eilish - you should see me in a crown|49.5|0|9
170|Post Malone - Better Now|49.5|2|7
171|Bleachers - Don't Take The Money|49.0|1|4
172|Carly Rae Jepsen - Higher|48.5|0|11
173|Taylor Swift - Holy Ground|48.5|0|7
174|The 1975 - Sincerity Is Scary|48.5|0|6
175|Ella Mai - Boo'd Up|48.0|0|10
176|Nicki Minaj - Barbie Dreams|47.5|0|9
177|Zedd & Elley Duhé - Happy Now|47.5|0|6
178|YURI (Girls' Generation) - Into You|47.5|0|4
179|Lil Peep & XXXTentacion - Falling Down|47.0|0|10
180|Carly Rae Jepsen - Your Type|47.0|0|7
181|Ariana Grande - Sweetener|46.5|0|17
182|St. Vincent - Young Lover - piano version|46.5|0|10
183|Kero Kero Bonito - Dear Future Self|46.0|1|10
184|Juice WRLD - Lucid Dreams|45.5|0|5
185|Jess Glynne - No One|45.0|0|8
185|Lady Gaga - La Vie En Rose|45.0|0|8
187|Julia Holter - I Shall Love 2|45.0|0|4
188|Avril Lavigne - Head Above Water|44.5|0|8
189|St. Vincent - Fear The Future - piano version|44.0|0|12
190|Lady Gaga & Bradley Cooper - Diggin' My Grave|44.0|0|10
191|Bradley Cooper - Too Far Gone|44.0|0|9
192|BROCKHAMPTON - SAN MARCOS|44.0|0|7
192|Frank Ocean - Pink + White|44.0|0|7
194|NCT 127 - My Van|44.0|1|4
195|April - oH! mY mIstAke|44.0|2|3
196|St. Vincent - New York - piano version|43.0|0|9
197|Troye Sivan - Plum|43.0|0|7
198|WEKI MEKI - Crush|43.0|0|5
199|AlunaGeorge - Superior Emotion|43.0|0|4
200|5 Seconds Of Summer - Youngblood|42.5|0|10
201|St. Vincent - Los Ageless|42.0|1|8
202|Quavo - BIGGEST ALLEY OOP|42.0|1|7
203|Carly Rae Jepsen - Gimmie Love|42.0|0|7
204|Kero Kero Bonito - Visiting Hours|41.5|0|11
205|Taylor Swift - Gorgeous|41.5|0|9
206|Selena Gomez - Back To You|41.5|1|6
207|Jess Glynne - Broken|41.5|0|5
208|BTS - IDOL|41.0|0|7
209|Kids See Ghosts - Cudi Montage|41.0|0|5
210|St. Vincent - Hang On Me - piano version|40.5|0|9
211|Ariana Grande - Into You|40.5|0|8
212|Panic! at The Disco - Hey Look Ma, I Made It|40.5|0|5
213|NCT 127 - Come Back|40.0|0|4
214|Dua Lipa - New Rules|39.5|0|11
215|Jess Glynne - I'll Be There|39.5|0|9
216|ABBA - Dancing Queen|39.5|0|8
