Rank|Song|Total Points|Number Ones|Total Listeners
115|Charli XCX - TROPHY|47.5|1|7
115|Aminé - Spice Girl|47.5|0|10
118|Lorde - Liability (Reprise)|47.0|0|11
119|Snakehips & Anne-Marie - Either Way (feat. Joey Bada$$)|46.5|0|7
120|BROCKHAMPTON - STAR|46.0|0|8
121|Kendrick Lamar - HUMBLE.|45.5|0|11
122|Poppy - Interweb|45.0|0|7
122|Halsey - Heaven in Hiding|45.0|0|8
122|Jonas Blue - Mama|45.0|0|4
125|Zedd & Alessia Cara - Stay|44.5|0|7
125|Tyler, the Creator - Where This Flower Blooms|44.5|0|11
127|Taylor Swift - This Love|44.0|0|6
127|Taylor Swift - New Romantics|44.0|1|9
127|Kungs - More Mess|44.0|0|4
127|Kesha - Die Young|44.0|0|7
131|Carly Rae Jepsen - Making the Most of the Night|43.5|0|9
131|소녀시대 - Sweet Talk|43.5|0|5
131|Allie X - Catch|43.5|0|6
131|Tyler, the Creator - Foreword|43.5|1|8
135|Calvin Harris - Rollin (feat. Future & Khalid)|43.0|0|8
136|Kendrick Lamar - DNA.|41.5|0|6
137|Lana Del Rey - Tomorrow Never Came (feat. Sean Ono Lennon)|41.0|0|10
138|Lady Gaga - John Wayne|40.5|1|6
139|Julia Michaels - Just Do It|40.0|0|4
139|China Anne McClain - What's My Name|40.0|1|3
141|Camila Cabello - Crying in the Club|39.5|0|11
141|Tyler, the Creator - Garden Shed|39.5|0|8
141|Ariana Grande - Intro|39.5|0|3
141|Tyler, the Creator - Pothole|39.5|0|6
145|Carly Rae Jepsen - Gimmie Love|39.0|0|13
145|Lorde - Buzzcut Season|39.0|0|7
145|Allie X - That's So Us|39.0|0|8
148|BROCKHAMPTON - GOLD|38.5|0|6
148|Lorde - Tennis Court|38.5|0|7
148|Lady Gaga - Dancin' In Circles|38.5|1|5
151|Whitney Houston - So Emotional|38.0|0|4
151|Ariana Grande - Greedy|38.0|0|8
151|Lady Gaga - The Cure|38.0|0|13
154|Liam Payne - Strip That Down (feat. Quavo)|37.5|0|10
154|Carly Rae Jepsen - Emotion|37.5|0|9
156|Cashmere Cat - Quit (feat. Ariana Grande)|37.0|0|8
157|BØRNS - Faded Heart|36.5|0|5
157|The National - Carin at the Liquor Store|36.5|0|4
157|Axwell /\ Ingrosso - More Than You Know|36.5|2|5
157|Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo)|36.5|0|5
157|Carly Rae Jepsen - I Really Like You|36.5|0|8
162|Aminé - Caroline|36.0|0|8
162|소녀시대 - One Last Time|36.0|0|6
162|Miley Cyrus - Malibu|36.0|0|12
165|Charli XCX - Emotional|35.5|0|6
165|Martin Garrix & Troye Sivan - There For You|35.5|0|7
167|Halsey - 100 Letters|35.0|0|9
167|Playboi Carti - Magnolia|35.0|1|6
167|Jay-Z - The Story of O.J.|35.0|0|5
170|Dua Lipa - Genesis|34.5|0|8
170|SZA - Garden (Say It Like Dat)|34.5|1|4
170|Bleachers - Don't Take The Money|34.5|0|8
170|소녀시대 - Only One|34.5|0|4
174|Purity Ring - Asido|34.0|1|4
175|Katy Perry - Bon Appétit (feat. Migos)|33.5|0|8
176|Carly Rae Jepsen - All That|33.0|0|9
176|CHVRCHES - Leave a Trace|33.0|1|6
176|Lana Del Rey - Lust for Life (feat. The Weeknd)|33.0|0|12
176|Harry Styles - Sign Of The Times|33.0|0|8
176|Phoebe Ryan - Forgetting All About You (feat. Blackbear)|33.0|1|4
176|Lorde - A World Alone|33.0|0|3
176|Jax Jones - Instruction (feat. Demi Lovato, Stefflon Don)|33.0|0|4
176|Felix Jaehn - Feel Good|33.0|0|4
184|Aminé - Hero|32.5|0|6
184|Olivia Holt - History|32.5|0|4
184|Sigrid - Don't Kill My Vibe|32.5|0|6
184|Future - You Da Baddest|32.5|0|3
184|The Weeknd - Reminder - Remix|32.5|1|4
184|Paramore - Fake Happy|32.5|0|8
190|Charli XCX - Roll With Me|32.0|0|7
190|Travi$ Scott - Butterfly Effect|32.0|0|6
190|OneRepublic - Rich Love (with Seeb)|32.0|0|4
193|Radiohead - Karma Police|31.5|0|3
193|Halsey - Bad At Love|31.5|0|9
193|Alvvays - Dreams Tonite|31.5|0|4
196|Dua Lipa - Begging|31.0|1|7
196|Carly Rae Jepsen - Let’s Get Lost|31.0|0|8
196|Arcade Fire - Everything Now|31.0|0|4
196|Lana Del Rey - Blue Jeans|31.0|1|4
196|Red Velvet - Red Flavor|31.0|0|3
196|DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)|31.0|0|5
196|Taylor Swift - Shake It Off|31.0|0|5
203|Katy Perry - Teenage Dream|30.5|0|6
203|Katy Perry - Witness|30.5|0|9
203|Ugly God - Welcome To The Booty Tape|30.5|0|8
203|Lana Del Rey - Change|30.5|0|7
203|Britney Spears - Break the Ice|30.5|0|4
203|Ugly God - Fuck Ugly God|30.5|0|8
203|Lana Del Rey - Coachella - Woodstock in My Mind|30.5|0|9
210|The Killers - The Man|30.0|0|3
210|J Balvin & Willy William - Mi Gente|30.0|2|2
210|Lady Gaga - A-YO|30.0|0|5
210|Lana Del Rey - Groupie Love (feat. A$AP Rocky)|30.0|0|11
210|WANNA ONE - ENERGETIC|30.0|2|2
210|Kendrick Lamar - LOYALTY. FEAT. RIHANNA.|30.0|0|4
210|Allie X - OLD HABITS DIE HARD|30.0|0|6
217|Kygo & Selena Gomez - It Ain't Me|29.5|0|5
217|소녀시대 - Love Is Bitter|29.5|0|3
217|Vera Blue - First Week|29.5|1|3
220|Carly Rae Jepsen - Warm Blood|29.0|0|5
220|GoldLink - Crew (feat. Brent Faiyaz, Shy Glizzy)|29.0|1|2
220|Lana Del Rey - Summertime Sadness|29.0|0|3
220|Lorde - Royals|29.0|0|4
224|Frank Ocean - Ivy|28.5|0|4
224|Ariana Grande - Be Alright|28.5|0|4
224|Paramore - Rose-Colored Boy|28.5|0|7
224|Trisha Paytas - Freaky|28.5|1|2
224|Ugly God - I'm A Nasty Hoe|28.5|0|7
229|Vince Staples - Love Can Be...|28.0|0|3
229|Carly Rae Jepsen - First Time|28.0|0|5
229|Allie X - Lifted|28.0|0|5
229|Lana Del Rey - Ride|28.0|0|4
229|Kanye West - Dark Fantasy|28.0|1|2
229|CHVRCHES - Gun|28.0|0|4
229|Tyler, the Creator - November|28.0|0|8
229|Coldplay - Clocks|28.0|1|3
229|Charli XCX - White Roses|28.0|0|5
229|Beyoncé - Countdown|28.0|0|3
229|Denzel Curry - Hate Government|28.0|0|3
229|Carly Rae Jepsen - LA Hallucinations|28.0|0|6
229|Jeff Rosenstock - We Begged 2 Explode|28.0|0|3
229|Tyler, the Creator - Glitter|28.0|0|8
243|Lady Gaga - Venus|27.5|0|5
243|Cheat Codes - No Promises (feat. Demi Lovato)|27.5|0|7
243|Ugly God - No Lies (feat. Wiz Khalifa)|27.5|0|6
243|Halsey - Eyes Closed|27.5|0|6
243|Arcade Fire - Signs of Life|27.5|0|4
248|Britney Spears - Gimme More|27.0|1|4
248|Halsey - Sorry|27.0|0|4
248|Charli XCX - Sucker|27.0|0|4
248|Troye Sivan - EASE|27.0|1|2
248|Mariah Carey - Honey|27.0|0|2
248|Lana Del Rey - Born To Die|27.0|0|4
254|Thomas Rhett - Unforgettable|26.5|0|2
254|Drake - Blem|26.5|1|2
254|Radiohead - Videotape|26.5|0|3
254|Mariah Carey - All I Want for Christmas Is You|26.5|1|3
254|Halsey - Lie (feat. Quavo)|26.5|0|5
254|Allie X - Vintage|26.5|0|7
254|Lana Del Rey - God Bless America - And All The Beautiful Women In It|26.5|0|11
254|Frank Ocean - nights|26.5|0|6
254|Client Liaison - A Foreign Affair (feat. Tina Arena)|26.5|0|2
254|Allie X - Hello|26.5|0|5
254|Grace VanderWaal - Moonlight|26.5|0|2
265|HAIM - Little of Your Love|26.0|0|3
265|Drake - Gyalchester|26.0|0|3
265|Rezz - Synesthesia|26.0|0|2
265|Vince Staples - Yeah Right|26.0|0|3
265|Kygo - It Ain’t Me (with Selena Gomez)|26.0|0|3
265|Halsey - Alone|26.0|0|7
271|Kard - Hola Hola|25.5|0|2
271|Madison Beer - Dead|25.5|0|3
271|Drake - Passionfruit|25.5|0|6
271|Carly Rae Jepsen - Tonight I’m Getting Over You|25.5|0|5
271|BLACKPINK - As If It's Your Last|25.5|1|2
271|Allie X - Prime|25.5|0|6
277|Allie X - SANCTUARY|25.0|0|5
277|Ariana Grande - Knew Better / Forever Boy|25.0|0|6
279|David Guetta - 2U (feat. Justin Bieber)|24.5|0|6
279|Tove Lo - True Disaster|24.5|1|3
279|Julia Michaels - Don't Wanna Think|24.5|0|4
279|Bebe Rexha - Pray|24.5|0|2
283|Rezz - LIVID|24.0|1|2
283|Little Mix - Touch|24.0|0|7
283|Lany - Super Far|24.0|0|2
283|Anitta - Paradinha|24.0|0|2
287|Vera Blue - Mended|23.5|0|2
287|The xx - Heart Skipped a Beat|23.5|1|2
287|Becky G - Mayores|23.5|0|3
287|Lady Gaga - Poker Face|23.5|0|6
287|Kesha - Boots|23.5|0|4
287|Peking Duk - Fake Magic|23.5|0|3
287|Exo - Ko Ko Bop|23.5|0|2
287|MØ - Nights With You|23.5|0|8
287|A$AP Mob - Raf|23.5|1|3
296|Beyoncé - Formation|23.0|0|3
296|Run the Jewels - Blockbuster Night Part 1|23.0|0|3
296|Imagine Dragons - Thunder|23.0|0|6
296|Daughter - Burn It Down|23.0|0|2
296|Arcade Fire - Electric Blue|23.0|0|4
296|Kanye West - Lost In The World|23.0|0|4
296|Billie Eilish - idontwannabeyouanymore|23.0|0|2
296|Calvin Harris - Faking It (feat. Kehlani & Lil Yachty)|23.0|0|2
296|Charli XCX - ILY2|23.0|0|6
296|BTS - Blood Sweat & Tears|23.0|0|4
306|Niall Horan - Slow Hands|22.5|0|7
306|Luis Fonsi - Despacito (feat. Daddy Yankee)|22.5|0|7
306|Carly Rae Jepsen - This Kiss|22.5|1|3
306|Ariana Grande - Santa Tell Me|22.5|0|2
306|Vince Staples - Crabs In A Bucket|22.5|0|2
306|Sia - Cheap Thrills|22.5|0|3
306|LCD Soundsystem - call the police|22.5|0|3
306|Frank Ocean - self control|22.5|0|7
314|Smino - Spitshine|22.0|0|2
314|Carly Rae Jepsen - When I Needed You|22.0|0|6
314|Lorde - Ribs|22.0|0|9
314|Calvin Harris - Skrt On Me (feat. Nicki Minaj)|22.0|0|2
318|Ariana Grande - Side To Side|21.5|0|4
318|Carly Rae Jepsen - Curiosity|21.5|0|4
318|Fergie - Enchanted|21.5|0|2
318|Ugly God - Bitch!|21.5|0|7
318|Taylor Swift - Wonderland|21.5|0|5
323|Coldplay & Big Sean - Miracles (Someone Special)|21.0|1|3
323|Taylor Swift - Sparks Fly|21.0|0|5
323|Young Thug - Relationship (feat. Future)|21.0|1|2
323|Halsey - Hopeless|21.0|0|3
323|The Strokes - What Ever Happened?|21.0|0|2
323|Japanese Breakfast - Till Death|21.0|0|2
323|Disclosure - White Noise (feat. AlunaGeorge)|21.0|0|2
323|Dance Gavin Dance - Antlion|21.0|0|2
323|Arcade Fire - Neighborhood #2 (Laïka)|21.0|0|3
332|Lady Gaga - Diamond Heart|20.5|0|5
332|P!nk - Blow Me (One Last Kiss)|20.5|0|3
332|Shura - Nothing's Real|20.5|0|2
332|Allie X - Good|20.5|0|4
332|Exo - 전야 前夜 The Eve|20.5|0|3
332|Disclosure - Magnets|20.5|0|2
332|Arcade Fire - We Don't Deserve Love|20.5|1|3
332|Taylor Swift - All You Had To Do Was Stay|20.5|0|4
332|Radiohead - You and Whose Army?|20.5|0|2
332|Charli XCX - Babygirl (feat. Uffie)|20.5|0|4
332|Kendrick Lamar - LOVE. FEAT. ZACARI.|20.5|0|4
343|Taylor Swift - Blank Space|20.0|0|2
343|Aminé - Yellow|20.0|0|4
343|Carly Rae Jepsen - Favourite Colour|20.0|0|5
343|Troye Sivan - Youth|20.0|0|4
343|Vera Blue - Lady Powers|20.0|0|2
343|JoJo - Music.|20.0|0|2
343|Mura Masa - Second 2 None (feat. Christine and the Queens)|20.0|0|3
350|HAIM - Want You Back|19.5|0|7
350|Frank Ocean - Godspeed|19.5|0|2
350|Radiohead - Burn the Witch|19.5|0|2
350|소녀시대 - 오랜 소원 It's You|19.5|0|3
350|The War on Drugs - Strangest Thing|19.5|0|2
350|Mura Masa & A$AP Rockey - Love$ick|19.5|0|3
350|Danny Brown - Pneumonia|19.5|0|3
350|Echosmith - Goodbye|19.5|0|3
350|Taylor Swift - Treacherous|19.5|0|8
350|Arcade Fire - Peter Pan|19.5|0|2
360|Carly Rae Jepsen - Hurt So Good|19.0|0|3
360|Sigrid - Fake Friends|19.0|0|3
360|Jason Derülo - Swalla (feat. Nicki Minaj & Ty Dolla $ign)|19.0|0|7
360|Lana Del Rey - Video Games|19.0|0|2
360|Astrid S - Such A Boy|19.0|0|3
360|Skott - Mermaid|19.0|0|2
360|Grimes - Oblivion|19.0|0|3
360|Pia Mia - I'm A Fan (feat. Jeremih)|19.0|0|2
360|Shakira - Chantaje (feat. Maluma)|19.0|0|2
360|Selena Gomez - Sober|19.0|0|2
360|BROCKHAMPTON - HEAT|19.0|0|4
360|Bleachers - Dream Of Mickey Mantle|19.0|0|3
360|Iggy Azalea - Switch (feat. Anitta)|19.0|0|4
360|BROCKHAMPTON - SWAMP|19.0|0|2
374|SUPERFRUIT - Imaginary Parties|18.5|0|3
374|Tame Impala - The Less I Know the Better|18.5|0|3
374|Carly Rae Jepsen - I Didn’t Just Come Here To Dance|18.5|0|7
374|Frank Ocean - Pink + White|18.5|0|5
374|Rezz - Diluted Brains|18.5|0|2
374|Calvin Harris - Hard To Love|18.5|0|2
374|Manchester Orchestra - The Grocery|18.5|0|2
374|Britney Spears - Heaven on Earth|18.5|0|3
374|Frank Ocean - close To you|18.5|0|2
374|Mariah Carey - Emotions|18.5|0|2
374|Foxes - Cruel|18.5|0|3
374|Bastille - Warmth|18.5|0|2
386|Grace Mitchell - Capital Letters|18.0|1|4
386|M.I.A. - XXXO|18.0|0|3
386|Banks - Gemini Feed|18.0|0|4
386|Alvvays - In Undertow|18.0|0|3
386|Donna Summer - Hot Stuff|18.0|0|2
386|DNCE - Cake By The Ocean|18.0|0|3
386|Dua Lipa - Homesick|18.0|1|4
386|BØRNS - Electric Love|18.0|0|5
386|Bruno Mars - Versace on the Floor|18.0|0|2
386|George Ezra - Budapest|18.0|0|2
386|The Ronettes - Be My Baby|18.0|0|2
386|The Weeknd - Secrets|18.0|0|4
386|Aminé - Turf|18.0|1|4
386|Taylor Swift - Holy Ground|18.0|0|6
386|Lady Gaga - Just Dance|18.0|0|2
386|Martin Garrix & Dua Lipa - Scared To Be Lonely|18.0|0|2
402|Mura Masa & Charli XCX - 1 Night|17.5|0|4
402|Shura - 2Shy|17.5|0|2
402|Ariana Grande - Sometimes|17.5|0|4
402|Halsey - Walls Could Talk|17.5|0|3
402|Whethan - love gang (feat. Charli XCX)|17.5|0|3
402|SZA - Doves in the Wind|17.5|0|3
402|The Killers - Mr. Brightside|17.5|0|3
402|Charli XCX - Break the Rules|17.5|0|4
402|Britney Spears - Toxic|17.5|0|10
402|Lady Gaga - Judas|17.5|0|3
402|Shawn Mendes - There's Nothing Holdin' Me Back|17.5|0|6
413|Harry Styles - wOmAn|17.0|0|2
413|Bleachers - Let's Get Married|17.0|1|3
413|Lady Gaga - G.U.Y.|17.0|0|2
413|Juicy J - Flood Watch|17.0|1|3
413|LCD Soundsystem - All My Friends|17.0|0|5
413|Taylor Swift - Clean|17.0|0|3
413|Ugly God - Water|17.0|0|7
413|Allie X - Simon Says|17.0|0|3
413|Harry Styles - sWeeT CreAtUre|17.0|0|2
413|Vera Blue - Give In|17.0|0|2
413|Disclosure - Help Me Lose My Mind (feat. London Grammar)|17.0|1|3
413|Kesha - Rainbow|17.0|0|5
413|Kesha - Your Love Is My Drug|17.0|0|3
413|Blondie - Call Me|17.0|1|3
413|Harry Styles - From the Dining Table|17.0|0|2
413|Japanese Breakfast - Machinist|17.0|0|2
429|Beach House - Myth|16.5|0|3
429|The Weeknd - Reminder|16.5|0|4
429|RuPaul - Call Me Mother|16.5|0|2
429|Marina & the Diamonds - Primadonna|16.5|0|3
429|Shakira - Chantaje|16.5|0|2
429|Charli XCX - After the Afterparty (feat. Lil Yachty)|16.5|0|3
429|Owl City - Good Time|16.5|0|4
429|Poppy - Computer Boy|16.5|0|3
429|Lana Del Rey - When The World Was At War We Kept Dancing|16.5|0|7
429|Ugly God - L.D.C|16.5|0|6
429|Zedd & Liam Payne - Get Low|16.5|0|3
440|George Michael - Faith - Remastered|16.0|1|2
440|Taylor Swift - The Last Time|16.0|0|3
440|Arcade Fire - Neighborhood #1 (Tunnels)|16.0|1|2
440|Tame Impala - Let It Happen|16.0|1|2
440|Smallpools - Passenger Side|16.0|0|2
440|Lady Gaga - MANiCURE|16.0|1|2
440|BROCKHAMPTON - DIRT|16.0|0|2
440|Britney Spears - Hot as Ice|16.0|0|3
440|Daft Punk - Instant Crush (feat. Julian Casablancas)|16.0|1|2
440|Danny L Harle - 1UL|16.0|0|3
440|P!nk - 'Cuz I Can|16.0|1|2
440|Kanye West - Black Skinhead|16.0|0|5
440|Natalia Kills - Devils Don't Fly|16.0|0|3
440|Allie X - Need You|16.0|0|4
440|The 1975 - The Sound|16.0|0|3
440|Alanis Morissette - Ironic|16.0|1|2
440|Japanese Breakfast - Everybody Wants To Love You|16.0|1|2
440|Grimes - Kill V. Maim|16.0|0|3
440|Lorde - 400 Lux|16.0|0|5
440|Vance Joy - Lay It On Me|16.0|1|2
440|Tove Lo - Habits (Stay High)|16.0|1|2
440|The Weeknd - Tell Your Friends|16.0|0|3
440|Scarlett Johansson - The Moon Song - Film Version|16.0|1|2
440|Charli XCX - Boom Clap|16.0|0|2
440|Katy Perry - Power|16.0|0|4
440|Dua Lipa - No Goodbyes|16.0|0|4
440|Aly & AJ - Like Whoa|16.0|1|2
440|Kesha - TiK ToK|16.0|0|5
440|Emoj - Spin It - The Fidget Song|16.0|0|2
440|Sabrina Carpenter - Eyes Wide Open|16.0|1|2
