Rank|Song|Total Points|Number Ones|Total Listeners
120|The Chainsmokers - This Feeling (feat. Kelsea Ballerini)|70.0|0|13
121|Lauv - There's No Way (feat. Julia Michaels)|70.0|3|8
122|Ariana Grande - everytime|69.0|0|13
123|Britney Spears - Toxic|67.5|0|11
123|Joji - CAN'T GET OVER YOU (feat. Clams Casino)|67.5|0|11
125|Taylor Swift - Getaway Car|67.0|0|14
126|The 1975 - Love It If We Made It|67.0|0|9
127|MØ - Way Down|66.0|0|11
128|Nao - Gabriel|66.0|0|8
129|Poppy - Time Is Up (feat. Diplo)|65.5|1|6
130|Sophie - IMMATERIAL|64.5|0|12
131|Kodak Black - ZEZE (feat. Travis Scott & Offset)|64.5|0|8
132|Tyga - Dip (feat. Nicki Minaj)|64.5|1|5
133|Gryffin - Remember (with ZOHARA)|63.5|2|6
134|Charli XCX - Round & Round|63.0|2|5
135|IU - BBIBBI|62.5|0|9
136|Drake - In My Feelings|62.0|2|10
137|Mariah Carey - With You|62.0|0|9
138|Toro y Moi - Freelance|60.5|0|7
139|Lorde - Green Light|60.0|0|9
140|Mariah Carey - A No No|60.0|0|7
141|Eleni Foureira - Tómame|60.0|4|4
142|The 1975 - TOOTIMETOOTIMETOOTIME|59.5|0|8
143|April - oH! mY mIstAke|59.5|1|5
144|Taylor Swift - King Of My Heart|58.5|0|12
145|Panic! at The Disco - High Hopes|58.5|0|7
146|Hatchie - Adored|58.5|1|6
147|Ariana Grande - Pete Davidson|57.0|0|9
148|Sabrina Carpenter - Almost Love|57.0|0|7
149|Nao - Another Lifetime|56.5|0|9
149|Taylor Swift - Look What You Made Me Do|56.5|0|9
151|Anderson .Paak - Tints (feat. Kendrick Lamar)|56.5|0|8
152|Twenty One Pilots - Nico And The Niners|56.5|0|7
153|Ariana Grande - Sweetener|55.5|0|14
154|MØ - I Want You|55.5|0|10
155|Lana Del Rey - Mariners Apartment Complex|55.0|1|10
156|bazzi - Beautiful (feat. Camila Cabello)|55.0|0|8
157|Nao - If You Ever|55.0|1|7
158|Carly Rae Jepsen - Your Type|54.5|1|10
159|Julia Holter - Les Jeux To You|54.5|2|9
160|Charli XCX - Taxi|54.5|1|6
161|Kiiara - L*** Is A Bad Word|54.0|0|7
161|Nao - Make It Out Alive (feat. SiR)|54.0|0|7
163|Tove Lo - Disco Tits|53.5|0|8
164|Mitski - A Pearl|53.5|1|4
165|Boa - Woman|53.0|0|7
165|MØ - Beautiful Wreck|53.0|0|7
165|Thom Yorke - Unmade|53.0|0|7
168|MØ - Purple Like The Summer Rain|53.0|0|6
169|Lady Gaga - Bad Romance|52.5|0|10
169|Taylor Swift - Gorgeous|52.5|0|10
171|Lorde - The Louvre|52.5|0|7
