Rank|Song|Total Points|Number Ones|Total Listeners
111|Lany - Thru These Tears|59.0|0|6
111|Red Velvet - Mr. E|59.0|0|6
113|Travis Scott - R.I.P. SCREW (feat. Swae Lee)|58.5|0|10
114|King Princess - Talia|58.5|0|8
115|Troye Sivan - The Good Side|58.5|1|6
116|Taylor Swift - New Year's Day|58.0|0|9
117|Travi$ Scott - YOSEMITE|57.5|0|13
118|Travi$ Scott - NC-17|57.5|0|11
119|Sabrina Carpenter - Almost Love|57.0|1|7
120|Travi$ Scott - ASTROTHUNDER|56.5|1|12
121|MØ & Diplo - Sun In Our Eyes|56.5|0|9
121|Taylor Swift - I Did Something Bad|56.5|0|9
123|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|56.0|1|6
124|6ix9ine - FEFE (feat. Nicki Minaj & Murda Beatz)|55.5|1|8
125|Taylor Swift - All Too Well|55.5|1|7
126|Taylor Swift - Don't Blame Me|55.5|0|7
127|Kanye West - Ghost Town (feat. PARTYNEXTDOOR)|54.5|0|9
128|KYLE - Playinwitme (feat. Kehlani)|54.5|0|7
129|Louis The Child - Dear Sense (with MAX)|53.0|3|4
130|Lorde - Green Light|52.5|0|11
131|Ella Mai - Trip|52.0|2|7
132|Shakira - Clandestino|52.0|1|5
133|Red Velvet - Hit That Drum|52.0|0|5
134|Travi$ Scott - 5% TINT|51.5|0|11
135|Twenty One Pilots - Jumpsuit|51.5|1|8
136|Kids See Ghosts - Cudi Montage|51.5|0|6
136|Selena Gomez - Back To You|51.5|0|6
138|RÜFÜS DU SOL - Underwater|51.0|1|4
139|Billie Eilish - Bellyache|50.5|0|7
140|(G)I-DLE - HANN (Alone)|50.5|1|4
141|Lorde - The Louvre|50.0|0|12
142|Kids See Ghosts - 4th Dimension|50.0|0|10
143|Camila Cabello - Real Friends|50.0|1|5
144|Azealia Banks - Treasure Island|49.5|0|7
145|Charlie Puth - BOY|49.5|1|6
146|Kids See Ghosts - Reborn|49.0|0|9
147|Lana Del Rey - Cherry|49.0|0|7
148|Taylor Swift - End Game (feat. Ed Sheeran & Future)|48.5|0|10
149|Kali Uchis - Dead To Me|48.5|0|8
150|Lorde - Sober|48.0|0|9
151|Grimes - Flesh Without Blood|48.0|0|7
152|King Princess - Holy|48.0|0|6
153|LOOΠΔ - Love Cherry Motion|48.0|0|5
153|Tinashe - Like I Used To|48.0|0|5
155|Lorde - Homemade Dynamite|47.0|0|11
156|The Carters - Apeshit|47.0|0|10
157|Taylor Swift - King Of My Heart|47.0|0|9
158|Kacey Musgraves - Butterflies|47.0|0|7
159|half•alive - still feel.|47.0|0|5
160|Taylor Swift - Call It What You Want|46.5|1|11
161|Emma Blackery - Take Me Out|46.5|0|4
162|Carly Rae Jepsen - Cry|46.0|0|7
163|Red Velvet - Blue Lemonade|46.0|0|4
164|Travi$ Scott - WAKE UP|45.5|0|9
165|Billie Eilish - idontwannabeyouanymore|45.5|1|5
166|Billie Eilish - bitches broken hearts|45.5|0|4
167|LSD - Audio|45.0|0|6
168|LOOΠΔ / ODD EYE CIRCLE - Girl Front|45.0|0|4
169|Ciara - Freak Me (feat. Tekno)|44.5|0|5
170|Alessia Cara - Growing Pains|44.5|0|4
171|Imagine Dragons - Natural|43.5|0|5
171|Twenty One Pilots - Nico And The Niners|43.5|0|5
173|Carly Rae Jepsen - Roses|43.0|0|9
174|Drake - Nonstop|43.0|0|7
174|Hayley Kiyoko - Curious|43.0|0|7
174|King Princess - 1950|43.0|0|7
177|Cheat Codes & Little Mix - Only You|43.0|0|6
177|St. Vincent - Los Ageless|43.0|0|6
179|Juice WRLD - Lucid Dreams|42.5|1|10
180|Janelle Monáe - Screwed (feat. Zoë Kravitz)|42.5|0|7
181|Dua Lipa - IDGAF|42.5|0|6
181|MAMAMOO - Egotistic|42.5|0|6
183|Cheat Codes - Only You (with Little Mix)|42.5|1|4
184|Billie Eilish - Ocean Eyes|42.5|2|3
185|Katy Perry - Birthday|42.0|1|3
186|Carly Rae Jepsen - Higher|41.5|0|11
187|Taylor Swift - New Romantics|41.5|0|7
188|Let's Eat Grandma - It's Not Just Me|41.5|1|6
189|BROCKHAMPTON - 1999 WILDFIRE|41.5|0|5
190|Zedd, Maren Morris & Grey - The Middle|41.0|1|4
191|Trippie Redd - Forever Ever|41.0|0|4
192|Kiesza - Phantom Of The Dance Floor|40.5|1|5
193|George Ezra - Shotgun|40.0|0|7
194|Bebe Rexha - Self Control|40.0|0|5
194|xxxtentacion - Moonlight|40.0|0|5
196|Lights - Nice For What|40.0|0|4
197|Kesha - Learn To Let Go|40.0|1|3
198|Kacey Musgraves - Oh, What A World|39.5|1|7
199|LOOΠΔ/yyxy - love4eva (feat. Grimes)|39.5|0|6
200|One bit - Between You and Me|39.5|0|4
201|Carly Rae Jepsen - Your Type|39.0|0|7
202|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|39.0|1|6
203|Camila Cabello - Into It|39.0|1|5
204|Playboi Carti - Shoota (feat. Lil Uzi Vert)|39.0|0|3
205|Taylor Swift - Gorgeous|38.5|0|10
206|Denzel Curry - Clout Cobain|38.5|1|9
207|Florence + The Machine - Sky Full Of Song|38.5|1|5
208|BROCKHAMPTON - Sweet|38.5|0|4
208|Fall Out Boy - Sugar, We're Goin Down|38.5|0|4
208|Jai Wolf - Lost (feat. Chelsea Jade)|38.5|0|4
208|Taylor Swift - Love Story|38.5|0|4
212|Tessa Violet - Crush|38.0|1|5
213|Trippie Redd - Together|38.0|1|4
214|Kacey Musgraves - Space Cowboy|37.5|1|5
214|Martin Garrix - High On Life (feat. Bonn)|37.5|1|5
216|Charli XCX - 3am (Pull Up) (feat. MØ)|37.5|0|4
216|St. Vincent - Slow Disco|37.5|0|4
218|Travi$ Scott - WHO? WHAT!|37.0|0|7
219|Mitski - Your Best American Girl|37.0|0|6
219|Post Malone - Ball For Me (feat. Nicki Minaj)|37.0|0|6
221|Kim Petras - I Don't Want It At All|37.0|0|5
222|Kali Uchis - Body Language - Intro|36.5|1|4
223|Iglooghost - Påleo Mamu|36.5|0|4
223|Jax Jones - Ring Ring (feat. Mabel & Rich The Kid)|36.5|0|4
223|The Knocks - Love Me Like That (feat. Carly Rae Jepsen)|36.5|0|4
226|Paul McCartney - Fuh You|36.5|1|3
227|Kids See Ghosts - Freeee (Ghost Town Pt. 2)|36.0|1|9
228|Kacey Musgraves - Slow Burn|36.0|0|8
229|5 Seconds Of Summer - Want You Back|36.0|0|6
230|Grimes - Kill V. Maim|36.0|0|5
231|Iglooghost - New Vectors|36.0|0|4
232|Kanye West - XTCY|35.5|0|6
232|Taylor Swift - So It Goes...|35.5|0|6
234|Diplo - Wish - Trippie Mix|35.5|0|5
235|Blood Orange - Charcoal Baby|35.5|1|4
236|Billie Eilish & Khalid - Lovely|35.5|1|3
236|MOMOLAND - BAAM|35.5|1|3
238|Britney Spears - Piece Of Me|35.5|0|3
238|SZA - Love Galore|35.5|0|3
240|xxxtentacion - SAD!|35.0|0|6
241|Florence + The Machine - The End Of Love|35.0|0|5
241|Mariah Carey - We Belong Together|35.0|0|5
241|Sophie - Infatuation|35.0|0|5
244|My Chemical Romance - Teenagers|35.0|1|4
245|Pentagon - Shine|35.0|0|3
246|Khalid & Normani - Love Lies|34.5|0|6
247|Ella Mai - Boo'd Up|34.5|0|5
247|Kanye West - I Thought About Killing You|34.5|0|5
249|A Pink - I'm So Sick|34.5|1|3
250|CHVRCHES - Graves|34.0|0|5
250|Drake - God's Plan|34.0|0|5
252|TWICE - Dance The Night Away|34.0|1|3
253|Kacey Musgraves - Kansas City Star|33.5|0|7
254|Kanye West - All Mine|33.5|0|6
255|Allie X - Focus|33.5|0|5
255|Britney Spears - Gimme More|33.5|0|5
257|Charli XCX - Blame It On U|33.5|0|3
258|Demi Lovato - Sober|33.0|1|8
259|Carly Rae Jepsen - Let's Get Lost|33.0|0|6
260|Dean Lewis - Be Alright|33.0|0|5
260|Kali Uchis - Just a Stranger (feat. Steve Lacy)|33.0|0|5
262|태연 - Something New|33.0|0|4
263|Post Malone - Over Now|33.0|1|3
264|BLACKPINK - Forever Young|32.5|1|5
265|Years & Years - Sanctify|32.5|0|5
266|Denzel Curry - SIRENS | Z1RENZ (FEAT. J.I.D | J.1.D)|32.0|0|6
266|J. Cole - Album Of The Year - Freestyle|32.0|0|6
268|Paramore - Hard Times|32.0|0|5
269|LOOΠΔ - Eclipse (Prod. by Daniel Obi Klein)|32.0|0|4
270|ABBA - Voulez-Vous|31.5|0|5
270|Foster The People - Sit Next To Me|31.5|0|5
272|Lights - In My Feelings|31.5|1|4
272|LOOΠΔ - Egoist (Olivia Hye) (feat. Jinsoul)|31.5|1|4
274|Billie Eilish - my boy|31.5|0|4
274|Kero Kero Bonito - Only Acting|31.5|0|4
276|The Knocks - Classic (feat. Powers)|31.5|1|3
277|Radiohead - Weird Fishes/ Arpeggi|31.0|0|5
278|Kimbra - Everybody Knows|31.0|1|4
279|Aphex Twin - T69 Collapse|31.0|0|4
279|Panic! at The Disco - Hey Look Ma, I Made It|31.0|0|4
281|Paramore - 26|30.5|0|6
282|Triple H - RETRO FUTURE|30.5|0|4
283|Florence + The Machine - South London Forever|30.5|0|3
284|Kids See Ghosts - Kids See Ghosts|30.0|0|7
285|ABBA - The Winner Takes It All|30.0|1|4
286|Bebe Rexha - I Got You|30.0|1|3
287|Florence + The Machine - Big God|30.0|0|3
