Rank|Song|Total Points|Number Ones|Total Listeners
112|Twenty One Pilots - Leave The City|63.5|0|9
114|Clarence Clarity - Next Best Thing|63.0|1|8
115|Troye Sivan - Plum|62.5|0|11
116|Christine and The Queens - The walker|62.0|0|10
116|Kero Kero Bonito - Flyway|62.0|0|10
118|Kacey Musgraves - High Horse|61.5|0|11
119|Taylor Swift - Dancing with Our Hands Tied|61.0|0|12
120|Carly Rae Jepsen - Run Away With Me|61.0|0|11
121|Jonas Blue - Polaroid|60.5|0|8
122|Sheck Wes - Wanted|60.0|0|10
123|Mariah Carey - GTFO|60.0|0|9
124|Taylor Swift - ...Ready For It?|59.5|0|11
125|Sharon Van Etten - Comeback Kid|59.5|1|5
126|Ariana Grande - Better Off|58.0|1|9
127|BROCKHAMPTON - DISTRICT|57.5|1|8
128|BTS - IDOL|57.5|0|6
129|Young Thug - High (feat. Elton John)|57.0|1|10
130|Clarence Clarity - CC-Wave|56.5|1|7
131|Shawn Mendes & Zedd - Lost In Japan (Remix)|56.5|0|6
132|Loona - Hi High|56.5|2|5
133|St. Vincent - Los Ageless|55.5|0|11
134|BROCKHAMPTON - SAN MARCOS|55.5|0|7
135|Troye Sivan - Lucky Strike|55.0|0|13
136|Troye Sivan - Seventeen|55.0|0|12
137|BROCKHAMPTON - TONYA|55.0|0|11
138|slayyyter - Candy|55.0|1|7
139|The Chainsmokers - Side Effects (feat. Emily Warren)|53.5|0|12
140|David Guetta - Don't Leave Me Alone (feat. Anne-Marie)|53.5|0|8
141|LIL UZI VERT - New Patek|53.5|0|7
142|6ix9ine - STOOPID|53.5|2|6
143|Kero Kero Bonito - Visiting Hours|53.0|0|8
144|SunMi - Siren|53.0|1|6
145|The 1975 - TOOTIMETOOTIMETOOTIME|53.0|0|6
146|Benny Blanco - Eastside (with Halsey & Khalid)|52.5|0|10
147|Selena Gomez - Back To You|52.5|0|7
147|Taylor Swift - All Too Well|52.5|0|7
149|Sheck Wes - Mindfucker|52.0|0|9
150|CHVRCHES - Graffiti|52.0|0|8
151|Ella Mai - Trip|52.0|0|7
152|Khalid - Better|51.5|1|8
153|Charli XCX - Lipgloss (feat. Cupcakke)|51.5|1|6
154|Charli XCX - Backseat (feat. Carly Rae Jepsen)|51.0|0|8
154|Christine and The Queens - Doesn't matter|51.0|0|8
156|Kim Petras - All The Time|50.5|0|8
157|Lany - I Don't Wanna Love You Anymore|50.5|0|7
158|Charli XCX - Girls Night Out|50.0|0|12
159|Clarence Clarity - Vapid Feels Ain't Vapid|49.5|1|6
160|Taylor Swift - Style|49.0|0|7
161|BROODS - Peach|49.0|0|6
162|Carly Rae Jepsen - Higher|49.0|1|5
163|Years & Years - All for You|49.0|0|5
164|Nicki Minaj - Good Form|47.5|1|7
165|slayyyter - BFF|47.5|0|5
166|Pabllo Vittar - Disk Me|47.5|1|4
167|Sheck Wes - Live Sheck Wes|47.0|1|8
168|Frank Ocean - Thinkin Bout You|47.0|0|6
169|Taylor Swift - Holy Ground|46.5|1|4
170|Troye Sivan - My My My!|46.0|0|12
171|Christine and The Queens - Girlfriend (feat. Dâm-Funk)|45.5|0|8
172|Bradley Cooper - Too Far Gone|45.0|0|11
173|Christine and The Queens - Comme si|45.0|0|5
173|J.I.D - 151 Rum|45.0|0|5
173|Léon - Baby Don't Talk|45.0|0|5
176|BROCKHAMPTON - BERLIN|44.5|0|8
177|Christina Aguilera - Accelerate (feat. Ty Dolla $ign & 2 Chainz)|44.5|0|6
178|Charli XCX - 5 In The Morning|43.5|0|10
179|Post Malone - Psycho (feat. Ty Dolla $ign)|43.5|0|9
180|Kero Kero Bonito - Outside|43.5|0|6
181|Eminem - KILLSHOT|43.0|2|4
182|Lorde - Ribs|42.5|0|9
183|Mitski - Two Slow Dancers|42.5|1|6
184|Lady Gaga - Poker Face|42.5|0|6
185|Paramore - Hard Times|42.0|0|8
186|Lil' Wayne - Don't Cry (feat. XXXTENTACION)|42.0|0|6
187|Red Velvet - Bad Boy|41.5|0|5
188|Imagine Dragons - Natural|41.0|0|9
189|Tove Styrke - Sway|41.0|0|7
190|Kids See Ghosts - Fire|41.0|0|4
191|Taylor Swift - King Of My Heart|40.5|0|8
192|Let's Eat Grandma - It's Not Just Me|40.5|0|7
193|Lany - Thick And Thin|40.5|0|5
193|The 1975 - Sincerity Is Scary|40.5|0|5
195|Janelle Monáe - Make Me Feel|40.0|0|7
195|Taylor Swift - Don't Blame Me|40.0|0|7
197|AdriAnne Lenker - Symbol|40.0|1|4
198|Max - Worship|40.0|0|4
199|Post Malone - Better Now|39.5|0|8
199|Robyn - Missing U|39.5|0|8
201|Jaden Smith - GOKU|39.5|1|4
202|Maggie Rogers - Light On|39.5|0|3
203|AlunaGeorge - Cold Blooded Creatures|39.0|0|8
204|Camila Cabello - Consequences|39.0|0|5
204|Dinah Jane - Bottled Up (feat. Ty Dolla $ign & Marc E. Bassy)|39.0|0|5
206|Mac Miller - Self Care|39.0|0|4
