Rank|Song|Total Points|Number Ones|Total Listeners
118|Kacey Musgraves - High Horse|63.0|1|9
119|Maggie Rogers - Light On|63.0|0|9
120|RM - moonchild|63.0|0|7
121|Lady Gaga & Bradley Cooper - Music To My Eyes|62.5|0|11
122|Kesha - Thinking Of You|61.5|1|6
123|Martin Garrix - Scared To Be Lonely|61.0|0|10
124|Jess Glynne - Thursday|60.5|1|8
125|Empress Of - Everything To Me|58.5|0|11
126|Taylor Swift - Call It What You Want|58.0|0|9
127|Julien Baker - Me & My Dog|58.0|1|5
128|Ariana Grande - Pete Davidson|57.5|0|14
129|Empress Of - All For Nothing|57.5|0|9
130|FROMIS_9 - Love Bomb|57.5|0|6
131|RM - tokyo|56.5|0|6
132|Mariah Carey - With You|55.5|0|10
133|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|55.0|0|11
134|xxxtentacion - SAD!|54.0|1|6
135|Ariana Grande - Successful|53.5|0|11
136|Kim Petras - I Don't Wanna Die…|53.5|0|7
137|Drake - In My Feelings|53.0|1|8
138|Lorde - Ribs|53.0|0|8
139|Empress Of - I've Got Love|53.0|0|7
140|Dominic Fike - 3 Nights|53.0|3|4
141|Young Thug - High (feat. Elton John)|52.5|1|5
142|Empress Of - Again|52.0|1|8
143|Twenty One Pilots - Neon Gravestones|52.0|0|8
144|Lady Gaga & Bradley Cooper - Diggin' My Grave|51.5|0|9
145|Kero Kero Bonito - Make Believe|51.5|1|8
146|Joji - Slow dancing in The dark|51.5|0|7
147|Alessia Cara - Trust My Lonely|51.0|0|9
148|Troye Sivan - Lucky Strike|51.0|1|7
149|Anderson .Paak - Tints (feat. Kendrick Lamar)|50.5|0|9
150|Taylor Swift - End Game (feat. Ed Sheeran & Future)|50.5|0|8
151|Dua Lipa - Last Dance|50.5|0|7
152|Britney Spears - ...Baby One More Time|50.0|1|8
153|Taylor Swift - Dress|50.0|1|7
154|Kacey Musgraves - Butterflies|50.0|1|6
155|Powers Pleasant - Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)|50.0|0|6
156|A Pink - I'm So Sick|50.0|0|5
157|Lorde - Supercut|49.5|0|8
158|Taylor Swift - All Too Well|49.5|2|5
159|Taylor Swift - Delicate (Seeb Remix)|49.5|1|4
160|Troye Sivan - Plum|49.0|0|6
161|Jess Glynne - All I Am|48.5|0|8
162|NoName - Self|48.5|0|5
163|Charli XCX - 5 In The Morning|48.0|1|12
164|Years & Years - All for You|48.0|1|7
165|Calvin Harris & Dua Lipa - One Kiss|47.5|0|9
166|MØ - Purple Like The Summer Rain|47.5|0|8
167|Ariana Grande - R.E.M|47.0|2|11
168|Lady Gaga & Bradley Cooper - I Don't Know What Love Is|47.0|0|8
169|Kim Petras - o m e n|47.0|0|7
169|Rina Sawayama - Cherry|47.0|0|7
171|Lorde - Liability|46.5|0|9
172|Sophie - IMMATERIAL|46.5|1|7
173|Shawn Mendes & Zedd - Lost In Japan (Remix)|46.5|1|5
174|Charli XCX - Vroom Vroom|46.0|0|14
175|Kero Kero Bonito - Only Acting|46.0|2|8
176|Camila Cabello - Consequences - orchestra|46.0|1|7
177|Charli XCX - Taxi|46.0|1|5
178|Empress Of - Trust Me Baby|45.5|0|9
179|Lady Gaga - Bad Romance|45.5|0|8
179|Lorde - Team|45.5|0|8
181|Red Velvet - Bad Boy|45.5|0|7
182|Aminé - REEL IT IN|45.0|0|5
183|MØ - Trying To Be Good|44.5|0|8
184|Avril Lavigne - Head Above Water|44.5|0|7
184|Twenty One Pilots - Bandito|44.5|0|7
186|George Ezra - Shotgun|44.5|2|4
187|Calvin Harris & Sam Smith - Promises|44.0|1|7
188|Taylor Swift - Gorgeous|44.0|0|6
189|Billie Eilish - you should see me in a crown|44.0|0|5
190|Graveyardguy - Final Girl|44.0|2|3
191|Ariana Grande - blazed (feat. Pharrell Williams)|43.5|0|8
191|Bradley Cooper - Maybe It's Time|43.5|0|8
193|Maggie Rogers - Alaska|43.5|0|7
194|BLACKPINK - Forever Young|43.5|0|6
194|Jess Glynne - No One|43.5|0|6
194|Selena Gomez - Back To You|43.5|0|6
197|RÜFÜS DU SOL - Underwater|43.5|0|5
198|Kim Petras - Boo! Bitch!|43.0|0|7
199|SunMi - Siren|43.0|0|6
200|Carly Rae Jepsen - Boy Problems|43.0|0|5
201|Raven-Symoné - Raven's Pie|43.0|1|3
202|Post Malone - Better Now|42.5|0|10
203|Demi Lovato - Cool for The Summer|42.0|0|8
204|Selena Gomez - Bad Liar|42.0|1|6
205|(G)I-DLE - HANN (Alone)|42.0|0|5
206|Kero Kero Bonito - Outside|41.5|0|8
207|bazzi - Beautiful (feat. Camila Cabello)|41.5|0|6
207|Tyler, The Creator - You're A Mean One, Mr. Grinch|41.5|0|6
209|Lady Gaga - Judas|41.5|1|5
210|slayyyter - I'm High|41.5|0|5
211|slayyyter - Platform Shoes|41.5|0|4
212|Kacey Musgraves - Slow Burn|41.0|0|6
212|Zayn - Fingers|41.0|0|6
214|RM - uhgood|41.0|0|5
215|Mariah Carey - It's Like That|41.0|0|3
216|My Chemical Romance - Welcome To The Black Parade|40.5|0|7
217|Taylor Swift - New Year's Day|40.5|0|6
218|Lil Baby - Drip Too Hard (Lil Baby & Gunna)|40.5|0|5
219|Ariana Grande - Into You|40.0|0|8
220|Jess Glynne - I'll Be There|40.0|0|7
221|Britney Spears - Slumber Party (feat. Tinashe)|40.0|0|6
222|Lorde - Green Light|39.5|0|10
223|Dua Lipa - New Rules|39.5|1|7
224|Lil Yachty - Yacht Club (feat. Juice WRLD)|39.5|0|6
225|Imagine Dragons - Natural|39.0|0|6
226|Loona - Favorite|39.0|0|5
226|Nicki Minaj - Good Form|39.0|0|5
228|Poppy - Hard Feelings|39.0|0|4
229|The Weeknd - Reminder|39.0|1|3
230|Ariana Grande - Get Well Soon|38.5|0|8
231|LOOΠΔ / ODD EYE CIRCLE - Sweet Crazy Love|38.5|0|5
232|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|38.0|0|9
233|Lorde - The Louvre|38.0|0|8
234|Dua Lipa - Room For 2|38.0|1|5
235|Carly Rae Jepsen - Your Type|38.0|0|5
235|Jess Glynne - 123|38.0|0|5
235|Kero Kero Bonito - Swimming|38.0|0|5
235|Robyn - Missing U|38.0|0|5
239|Ellie Goulding - Lights|38.0|0|3
240|Lorde - Sober|37.5|0|8
241|Lorde - Perfect Places|37.5|0|7
242|Lauren Daigle - You Say|37.5|1|4
243|Twenty One Pilots - Smithereens|37.0|0|7
244|A$AP Rocky - Praise The Lord (Da Shine)|37.0|0|4
245|Britney Spears - Toxic|36.5|0|12
246|Carly Rae Jepsen - Cut To The Feeling|36.5|0|10
247|Carly Rae Jepsen - Run Away With Me|36.5|0|7
248|Taylor Swift - Don't Blame Me|36.5|1|6
249|Twenty One Pilots - Nico And The Niners|36.5|0|6
250|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|36.5|0|5
250|Fleetwood Mac - Rhiannon|36.5|0|5
252|Julia Holter - Words I Heard|36.5|0|4
253|Lorde - Homemade Dynamite|36.0|0|8
254|Benny Blanco - Eastside (with Halsey & Khalid)|36.0|0|7
255|Taylor Swift - So It Goes...|36.0|1|5
256|Polyphia - Nasty (feat. Jason Richardson)|36.0|2|4
257|Ariana Grande - Better Off|35.5|0|9
258|Lorde - Sober II (Melodrama)|35.5|0|7
259|Lauv - There's No Way (feat. Julia Michaels)|35.5|0|6
259|Sigala - Just Got Paid|35.5|0|6
261|The Weeknd - The Hills|35.5|0|5
262|Maggie Rogers - Fallingwater|35.5|1|4
263|NCT 127 - Run Back 2 U - Bonus Track|35.5|0|4
263|Tove Styrke - Sway|35.5|0|4
265|Khalid - Saturday Nights|35.0|0|10
266|Taylor Swift - Look What You Made Me Do|35.0|0|7
267|Mitski - A Pearl|35.0|2|4
268|Kali Uchis - Dead To Me|35.0|0|3
268|Lil Baby - Drip Too Hard|35.0|0|3
270|RM - forever rain|34.5|0|5
270|Taylor Swift - Getaway Car|34.5|0|5
272|Jessie Reyez - Sola|34.5|2|4
273|RÜFÜS DU SOL - New Sky|34.5|0|4
274|Lorde - Buzzcut Season|34.0|0|7
275|Lady Gaga - Poker Face|34.0|1|5
276|Fleetwood Mac - Gypsy|34.0|0|4
276|MOMOLAND - BAAM|34.0|0|4
278|Dominic Fike - She Wants My Money|34.0|0|3
279|Troye Sivan - Dance To This (feat. Ariana Grande)|33.5|0|11
280|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|33.5|0|6
281|Troye Sivan - Revelation (From "Boy Erased")|33.5|1|5
282|St. Vincent - Slow Slow Disco|33.5|0|5
283|Arkells - People's Champ|33.5|0|3
283|Robyn - Dancing on My Own|33.5|0|3
283|Tove Lo - Shedontknowbutsheknows|33.5|0|3
286|Carly Rae Jepsen - Higher|33.0|0|7
287|NCT 127 - Regular - English Version|33.0|1|4
288|Billie Eilish - COPYCAT|33.0|0|4
288|Taylor Swift - Holy Ground|33.0|0|4
290|Dominic Fike - Westcoast Collective|33.0|0|3
291|Ariana Grande - The Light Is Coming (feat. Nicki Minaj)|32.5|0|12
292|Charli XCX - Roll With Me|32.5|0|10
293|Ariana Grande - Sweetener|32.5|0|8
293|Khalid - Motion|32.5|0|8
295|BLACKPINK - So Hot|32.5|0|5
295|Dua Lipa - IDGAF|32.5|0|5
295|Little Mix - Black Magic|32.5|0|5
298|Bradley Cooper - Out Of Time|32.5|0|4
298|Carly Rae Jepsen - Emotion|32.5|0|4
298|Kanye West - Waves|32.5|0|4
298|Lil Yachty - Get Dripped (feat. Playboi Carti)|32.5|0|4
302|LOOΠΔ - Stylish|32.5|0|3
303|Ariana Grande - Love Me Harder|32.0|0|9
304|Grimes - Kill V. Maim|32.0|1|6
305|Zedd, Maren Morris & Grey - The Middle|32.0|1|4
306|Lily Allen - Come On Then|32.0|0|4
306|Quavo - CHAMPAGNE ROSÉ (feat. Madonna & Cardi B)|32.0|0|4
308|Fleetwood Mac - The Chain - 2004 Remastered Edition|32.0|1|3
309|Bebe Rexha - I'm a Mess|31.5|0|5
310|Carly Rae Jepsen - Curiosity|31.5|0|4
311|RÜFÜS DU SOL - Eyes|31.5|0|3
311|RÜFÜS DU SOL - Lost in My Mind|31.5|0|3
313|Lil' Wayne - Uproar|31.0|0|6
313|Twenty One Pilots - Leave The City|31.0|0|6
315|Taylor Swift - Style|31.0|0|5
316|6ix9ine - FEFE (feat. Nicki Minaj & Murda Beatz)|31.0|1|4
317|Beach House - Space Song|31.0|0|4
318|Lorde - Hard Feelings/Loveless|30.5|1|7
319|6ix9ine - STOOPID|30.5|0|5
319|NCT 127 - Replay (PM 01:27)|30.5|0|5
321|Toto - Africa|30.5|0|4
322|MOMOLAND - BBoom BBoom|30.5|1|3
323|Dua Lipa - Blow Your Mind (Mwah)|30.0|0|7
324|Carly Rae Jepsen - Making The Most Of The Night|30.0|0|4
324|Lady Gaga - Million Reasons|30.0|0|4
326|Marina & The Diamonds - Oh No!|30.0|1|3
326|Nicki Minaj - Barbie Tingz|30.0|1|3
328|xxxtentacion - changes|29.5|1|4
329|Jessie Reyez - Apple Juice|29.5|0|4
330|Dinah Jane - Bottled Up (feat. Ty Dolla $ign & Marc E. Bassy)|29.5|0|3
330|Lady Gaga - Alejandro|29.5|0|3
332|Camila Cabello - Never Be The Same|29.0|0|9
332|Kero Kero Bonito - Flyway|29.0|0|9
334|Kero Kero Bonito - Time Today|29.0|1|8
335|Future - Jet Lag (feat. Young Scooter)|29.0|1|6
336|Sabrina Carpenter - Almost Love|29.0|0|3
337|Yaeji - Raingurl|29.0|1|2
338|(G)I-DLE - LATATA|28.5|0|5
338|Nile Rodgers & CHIC - I Want Your Love (feat. Lady Gaga)|28.5|0|5
340|Kero Kero Bonito - If I'd Known|28.5|1|4
341|The 1975 - Give Yourself A Try|28.5|0|4
342|Dave - Funky Friday|28.5|0|3
342|Dominic Fike - Babydoll|28.5|0|3
342|Panic! at The Disco - Hey Ya! - Recorded at Spotify Studios NYC|28.5|0|3
342|Teyana Taylor - WTP|28.5|0|3
346|Arkells - American Screams|28.5|1|2
347|LOOΠΔ - NEW|28.0|0|5
348|Lil B - This Is The BasedGod|28.0|1|4
348|Nicki Minaj - Barbie Dreams|28.0|1|4
350|CHVRCHES - Graffiti|28.0|0|4
350|RM - badbye|28.0|0|4
352|John Legend - Written In The Stars|28.0|1|3
352|WJSN - SAVE ME, SAVE YOU|28.0|1|3
354|Christine and The Queens - Girlfriend (feat. Dâm-Funk)|28.0|0|3
355|Grimes - Oblivion|28.0|1|2
355|Taylor Swift - Red|28.0|1|2
357|Bring Me The Horizon - Wonderful Life (feat. Dani Filth)|28.0|0|2
357|They. - What I Know Now (feat. Wiz Khalifa)|28.0|0|2
359|Ariana Grande - borderline (feat. Missy Elliott)|27.5|0|7
360|Litany - Bedroom|27.5|1|4
360|Troye Sivan - Seventeen|27.5|1|4
362|Lil Baby - Yes Indeed|27.5|0|3
363|Alan Walker - Diamond Heart|27.5|0|2
363|Arkells - Hand Me Downs|27.5|0|2
363|Radiohead - Daydreaming|27.5|0|2
363|Róisín Murphy - The Rumble|27.5|0|2
367|Bleachers - Rollercoaster|27.0|0|6
368|Nicki Minaj - Chun-Li|27.0|0|4
368|The 1975 - Somebody Else|27.0|0|4
368|The Chainsmokers - Side Effects (feat. Emily Warren)|27.0|0|4
368|Travi$ Scott - CAN'T SAY|27.0|0|4
372|Arkells - Only For A Moment|27.0|0|3
372|Carly Rae Jepsen - This Kiss|27.0|0|3
372|Gucci Mane, Bruno Mars & Kodak Black - Wake Up in The Sky|27.0|0|3
372|JoJo - Too Little, Too Late - Radio Version|27.0|0|3
372|Offset - Ric Flair Drip (& Metro Boomin)|27.0|0|3
377|Jessie Reyez - Saint Nobody|27.0|0|2
378|St. Vincent - Fast Slow Disco|26.5|1|5
378|Troye Sivan - My My My!|26.5|1|5
380|Cardi B - Ring (feat. Kehlani)|26.5|0|4
380|Sabrina Carpenter - Paris|26.5|0|4
382|French Montana - No Stylist (feat. Drake)|26.5|0|3
382|Mura Masa & NAO - Complicated|26.5|0|3
382|RÜFÜS DU SOL - Treat You Better|26.5|0|3
385|Belinda Carlisle - Heaven Is a Place on Earth|26.5|0|2
386|Christine and The Queens - Doesn't matter|26.0|0|5
386|Poppy - Immature Couture|26.0|0|5
388|RM - everythingoes|26.0|1|4
389|BROCKHAMPTON - HONEY|26.0|0|4
389|Zedd & Elley Duhé - Happy Now|26.0|0|4
391|Alma - Cowboy|26.0|0|3
391|Jessie Reyez - Dear Yessie|26.0|0|3
391|Katy Perry - Thinking Of You|26.0|0|3
391|Mariah Carey - We Belong Together|26.0|0|3
395|Britney Spears - Do You Wanna Come Over?|26.0|1|2
395|LOOΠΔ / ODD EYE CIRCLE - Uncover|26.0|1|2
395|Tove Styrke - On a Level|26.0|1|2
398|Aly & AJ - Good Love|26.0|0|2
398|bazzi - 3:15|26.0|0|2
398|Ella Mai - Good Bad|26.0|0|2
398|Ryn Weaver - Pierre|26.0|0|2
402|Arkells - Relentless|25.5|0|4
402|Open Mike Eagle - Microfiche|25.5|0|4
402|Poppy - Fashion After All|25.5|0|4
